Saint	Date of birth	Date of death	Date of	Tradition				
Alphege	953	1012		Yes		Yes	Yes	3
Alphonsa Muttathupandathu	19-Aug-10	28-Jul-46	12-Oct-08				Yes	1
Alphonsus Liguori	27 Sep 1696	1 Aug 1787	26 May 1839				Yes	1
Amand		675					Yes	1
Ambrose of Alexandria		250			Yes			1
Ammonas of Egypt						Yes	Yes	2
Ammon		357			Yes			1
Amphilochius of Pochayiv	27 Nov 1894	01-Jan-71	11-May-02			Yes		1
Anastasius of Alexandria		616			Yes			1
Andronicus of Alexandria		622			Yes			1
Pope Anianus		82			Yes			1
Anastasia of Russia	1901	1918				Yes		1
Anastasia the Patrician		576			Yes	Yes	Yes	3
Anastasius Sinaita		post 700				Yes	Yes	2
André Bessette	9 Aug 1845	06-Jan-37	17-Oct-10				Yes	1
Andrei the Iconographer		c. 1430				Yes		1
Andrew Bobola	1591	1657					Yes	1
Andrew of Constantinople		936				Yes		1
Andrew of Crete		8th century				Yes	Yes	2
Andrew Dung-Lac	1795	1839					Yes	1
Angela Merici	1474	1540					Yes	1
Angelus of Jerusalem	1185	1220	1459				Yes	1
Anna		1st century				Yes		1
Anne Line	1563	1601					Yes	1
Anoub of Scetis	c. 400	c. 550				Yes	Yes	2
Anselm of Canterbury		1109		Yes			Yes	2
Ansgar		865		Yes		Yes	Yes	3
Anthony		1347				Yes	Yes	2
Anthony the Great	251	356			Yes	Yes	Yes	3
Anthony of Kiev		1073				Yes		1
Anthony of Lisbon or of Padua		13 Jun 1231	30 May 1232				Yes	1
Anthony Galvão	1739	1822					Yes	1
Anthony Mary Claret	1807	24 Oct 1870	07-May-50				Yes	1
Antoine Daniel		1648					Yes	1
Aphrahat	c. 280	c. 345			Yes	Yes	Yes	3
Aphrodisius		65			Yes		Yes	2
Apollo		5th century			Yes			1
Apollonia		249			Yes			1
Apollos		1st century			Yes			1
Aprax		4th century			Yes			1
Arnold Janssen		1909					Yes	1
Arnulf of Metz		640					Yes	1
Athanasius of Alexandria		373			Yes		Yes	2
Augustine of Canterbury		26 May 604		Yes		Yes	Yes	3
Augustine of Hippo	13 Nov 354	28 Aug 430		Yes	Yes	Yes	Yes	4
Ava of Denain		845 AD	Apr-29				Yes	
Avoye	Early 3rd century	c. 234					Yes	1
Avitus of Vienne		523					Yes	1
Avilius of Alexandria		95			Yes			1
Baldred of Tyninghame		757		Yes			Yes	2
Barbatus of Benevento		682				Yes	Yes	2
Barsanuphius of Palestine		540			Yes			1
Basil the Great	329	2 Jan 379			Yes	Yes	Yes	3
Basil the Fool for Christ		2 Aug 1552				Yes		1
Basil of Ostrog		1671				Yes		1
Beatrix d'Este		1262					Yes	1
The Venerable Bede		735		Yes		Yes	Yes	3
Benedetta Cambiagio Frassinello	1791	1858					Yes	1
Benedict of Aniane		747				Yes	Yes	2
Benedict of Nursia	2 Mar 480	21 Mar 543	1220	Yes		Yes	Yes	3
Benedict of Jesus		1934					Yes	1
Pope Benedict II		685				Yes	Yes	2
Benedict the Moor	1526	4 Apr 1589	24 May 1807				Yes	1
Benedict Joseph Labre	25 Mar 1748	16 Apr 1783	8 Dec 1881				Yes	1
Berlinda of Meerbeke		702					Yes	1
Bernadette Soubirous	7 Jan 1844	16 Apr 1879	8 Dec 1933				Yes	1
Bernard of Clairvaux	1090	20 Aug 1153		Yes			Yes	2
Bernard Due Van Vo		1838					Yes	1
Bernard of Menthon		1008					Yes	1
Bernardo Tolomei		1348					Yes	1
Bernardino of Siena	8 Sep 1380	20 May 1444	24 May 1450				Yes	1
Birinus		649		Yes		Yes	Yes	3
Bonaventure of Bagnoregio		1274					Yes	1
Boniface	675	5 Jun 754		Yes		Yes	Yes	3
Pope Boniface IV		608				Yes	Yes	2
Boris I		2 May 907				Yes		1
Botolph		680		Yes			Yes	2
Brendan of Birr		c. 573				Yes	Yes	2
Brendan the Navigator		c. 578				Yes	Yes	2
Bridget of Sweden		23 Jul 1373		Yes4			Yes	2
Brigid of Kildare		525		Yes4		Yes	Yes	3
Brioc		6th century					Yes	1
Bruno of Cologne		1101					Yes	1
Bruno of Querfurt		1009				Yes	Yes	2
Bruno of Segni		1123					Yes	1
Budoc of Dol		7th century		Yes			Yes	2
Caesarius of Arles		542					Yes	1
Constantine the Great	272	337		Yes	Yes	Yes	Yes	4
Cajetan		1547					Yes	1
Camillus de Lellis		1614					Yes	1
Candidus		287			Yes			1
Canute IV of Denmark		1086					Yes	1
Carantoc		6th century		Yes			Yes	2
Casimir		1484					Yes	1
Catald		c. 8th century					Yes	1
Catherine of Alexandria		305			Yes		Yes	1
Catherine of Bologna		1463					Yes	1
Catherine of Genoa		1510					Yes	1
Catherine Laboure	2 May 1806	31 Dec 1876	27-Jul-47				Yes	1
Catherine of Ricci		1590					Yes	1
Catherine of Siena	25 Mar 1347	29 Apr 1380	29 Jun 1461	Yes			Yes	2
Cedd		664		Yes			Yes	2
Celadion of Alexandria		166			Yes			1
Celestine V		1296					Yes	1
Cettin		5th century					Yes	1
Chad of Mercia		672		Yes		Yes	Yes	3
Charbel Makhluf	8 May 1828	24 Dec 1898					Yes	1
King Charles the Martyr		1649	19 May 1660	Yes				1
Charles of Mount Argus	1821	1893					Yes	1
Christopher		c. 251				Yes	Yes	2
Chrysostomos of Smyrna	8 Jan 1867	10-Sep-22	04-Nov-92			Yes		1
Christina the Astonishing		1224					Yes	1
Chrysanthus		283			Yes			1
Ciarán of Clonmacnoise		546		Yes			Yes	2
Ciarán of Saighir		c. 530					Yes	1
Clare of Assisi		1253		Yes			Yes	2
Clare of Montefalco		1308					Yes	1
Claudus Corrius II[citation needed]		1253		Yes			Yes	2
Clement of Alexandria		215			Yes			1
Clement of Ohrid		17 Jul 960				Yes		1
Cleopatra		327			Yes			1
Clodoald		c. 560					Yes	1
Clotilde		545					Yes	1
Colette		1447					Yes	1
Columba	7 Dec 521	9 Jun 597		Yes	Yes	Yes	Yes	4
Columbanus		615				Yes	Yes	2
Comgall		597 or 602		Yes			Yes	2
Congar		520		Yes			Yes	2
Conrad of Parzham		21 Apr 1894	20-May-34				Yes	1
Conrad of Piacenza		1351					Yes	1
Constantine of Murom		1129				Yes		1
Pope Cosmas		730			Yes			1
Pope Cosmas II		858			Yes			1
Pope Cosmas III		933			Yes			1
Cosmas of Maiuma		8th century			Yes	Yes		2
Cristóbal Magallanes Jara	30 Jul 1869	25-May-27	21-May-00				Yes	1
Cunigunde of Luxemburg		1033					Yes	1
Cuthbert of Lindisfarne	634	687		Yes		Yes	Yes	3
Cuthbert Mayne		1577					Yes	1
Cynllo		6th century		Yes			Yes	2
Cyriacus the Anchorite		557				Yes		1
Cyrus the Coptic		304			Yes			1
"Cyril, teacher of the Slavs"		869		Yes		Yes	Yes	3
Pope Cyril I the Pillar of Faith		444			Yes	Yes	Yes	3
Pope Cyril II		1092			Yes			1
Pope Cyril III		1243			Yes			1
Pope Cyril IV		1861			Yes			1
Pope Cyril V	1824	07-Aug-27			Yes			1
Pope Cyril VI the Great	08-Aug-02	09-Mar-71	20-Jun-13		Yes			1
King Dagobert II		679					Yes	1
Damien of Molokai	3 Jan 1840	18 Apr 1889	11-Oct-09				Yes	1
Dasya		3rd century			Yes			1
Daydara		4th century			Yes			1
Daniel Comboni		1881					Yes	1
Danilo II		14th century				Yes		1
David (Dewi) of Wales	c. 500	1 Mar 589	1120	Yes		Yes	Yes	3
David Lewis		1679					Yes	1
Declan		5th century				Yes	Yes	2
Pope Demetrius		232			Yes			1
Demiana the Great		302			Yes			1
Denis of Paris	3rd century	c. 250		Yes		Yes	Yes	3
Desiderius of Fontenelle		c. 700					Yes	1
Desiderius of Vienne		607					Yes	1
Deusdedit of Canterbury		664		Yes			Yes	2
Didier (Desiderius) of Cahors		655					Yes	1
Didymus the Blind		398			Yes	Yes		2
Dietrich Bonhoeffer	04-Feb-06	09-Apr-45		Yes				1
Dimitry of Rostov	1651	1709				Yes		1
Pope Dioscorus		454			Yes			1
Dionysius of Alexandria		250			Yes			1
Doherty[citation needed]		579				Yes	Yes	2
Dominic de Guzman		6 Aug 1221	13 Jul 1234	Yes			Yes	2
Dominic de la Calzada		1109					Yes	1
Dominic Loricatus		1060					Yes	1
Dominic Savio		9 Mar 1857	12-Jun-54				Yes	1
Dorothea of Alexandria		320			Yes			1
Dorotheus of Gaza	505	565				Yes	Yes	2
Douai Martyrs		c. 1568-1668					Yes	1
Drogo of Sebourg		1105					Yes	1
Dunstan		988		Yes		Yes	Yes	3
Dymphna		7th century				Yes	Yes	2
Euphrasia Eluvathingal	17 Oct 1877	29-Aug-52	23-Nov-14				Yes	1
Eanflæd		704					Yes	1
Eanswith		640		Yes		Yes	Yes	3
Edburga of Bicester		7th century				Yes	Yes	2
Edburga of Minster-in-Thanet		8th century					Yes	1
Edith Stein	12 Oct 1891	09-Aug-42	11-Oct-98				Yes	1
Editha	961	15 Sep 984		Yes			Yes	2
Edmund Arrowsmith		1628					Yes	1
Edmund Campion		1581					Yes	1
Edmund of East Anglia		869		Yes		Yes	Yes	3
Edward the Confessor	1003	5 Jan 1066	7 Feb 1161	Yes		Yes	Yes	3
Edward the Martyr	c. 841	20 Nov 869		Yes		Yes	Yes	3
Edwin of Northumbria		633		Yes		Yes	Yes	3
Egbert of Northumbria		729		Yes		Yes	Yes	3
Eligius		659 or 660				Yes	Yes	2
Elisabeth of Hungary		1231		Yes			Yes	2
Elizabeth of Portugal	1270	4 Jul 1336	22 May 1625				Yes	1
Elizabeth of Russia	1864	1918				Yes		1
Elizabeth Ann Seton		1821					Yes	1
Emeric of Hungary		1031					Yes	1
Emma of Lesum		1038					Yes	1
Emma of Ludger		1050				Yes	Yes	2
Emmeram of Regensburg		652					Yes	1
Emmelia		375				Yes		1
Enda of Aran		530					Yes	1
Engelbert of Cologne		1225					Yes	1
Erbin		5th century					Yes	1
Erentrude		710					Yes	1
Ermengol		1035					Yes	1
Ermenilda of Ely		700 or 703					Yes	1
Æthelberht of Kent		616				Yes	Yes	2
Etheldreda of Ely		679		Yes		Yes	Yes	3
Pope Eugene I		657			Yes	Yes	Yes	3
Eugene de Mazenod		1861					Yes	1
Eulogius of Alexandria		608			Yes	Yes	Yes	3
Eulogius of Córdoba		859					Yes	1
Pope Eumenes		141			Yes			1
Euphemia		303		Yes		Yes	Yes	3
Euphrosyne of Alexandria		5th century			Yes			1
Euphrosyne of Polatsk		1173				Yes	Yes	2
Eustace of Luxeuil	c. 560	c. 629					Yes	1
Eustadiola	594	684					Yes	1
Eustase							Yes	1
Eustathius		1347				Yes	Yes	2
Eustochia Smeralda Calafato		1485					Yes	1
Euthymius the Great		473				Yes	Yes	2
Eysteinn Erlendsson		1188					Yes	1
Fachanan		c. 600					Yes	1
Faro		675					Yes	1
Faustina	25-Aug-05	05-Oct-38	30-Apr-00				Yes	1
Faustus		250			Yes			1
Feichin		c. 660		Yes			Yes	2
Felix		286			Yes			1
Pope Felix III		492				Yes	Yes	2
Pope Felix IV		530				Yes	Yes	2
Ferdinand III of Castile		1252					Yes	1
Ferréol of Uzès		581				Yes	Yes	2
Fiacre		670?					Yes	1
Fidelis of Sigmarengen		1622					Yes	1
Filan				Yes			Yes	2
Finbarr		620		Yes			Yes	2
Florentina		c. 612					Yes	1
Franca Visalta		1218					Yes	1
Frances Cabrini	1850	1917					Yes	1
Frances of Rome		1440					Yes	1
Francis of Assisi	1181	3 Oct 1226	16 Jul 1228	Yes			Yes	2
Francis Caracciolo		1608					Yes	1
Francis of Paola		1507					Yes	1
Francis de Sales	21 Aug 1567	28 Dec 1622	8 Apr 1665	Yes			Yes	2
Francis Xavier	7 Apr 1506	3 Dec 1552	12 Mar 1622	Yes4			Yes	2
Francisco de Jesus Marto	11-Jun-08	04-Apr-19	13-May-17				Yes	1
Frei Galvão	1739	1822					Yes	1
Frideswide	c. 650	19 Oct 727		Yes	Yes	Yes	Yes	4
Fructuosus of Braga		665					Yes	1
Fulgentius of Cartagena		7th century					Yes	1
Pope Gabriel I		921			Yes			1
Pope Gabriel II		1145			Yes			1
Pope Gabriel III		1270			Yes			1
Pope Gabriel IV		1378			Yes			1
Pope Gabriel V		1427			Yes			1
Pope Gabriel VI		1475			Yes			1
Pope Gabriel VII		1569			Yes			1
Pope Gabriel VIII		1603			Yes			1
Gaetano Errico		1860					Yes	1
Gabriel of Our Lady of Sorrows		1862					Yes	1
"Gal I, Bishop of Clermont"		c. 553					Yes	1
Gall		c. 646				Yes	Yes	2
Gallicanus		363			Yes			1
Gaspar del Bufalo		1837					Yes	1
Gaudentius of Ossero		1044				Yes	Yes	2
Pope Gelasius I		19 Nov 498			Yes	Yes	Yes	3
Gelert		7th century		Yes			Yes	2
Gemma Galgani	1878	11-Apr-03	02-May-40				Yes	1
Genesius of Clermont		c. 662					Yes	1
Genevieve	419	512				Yes	Yes	2
George the Great		303		Yes	Yes	Yes	Yes	4
George Preca	12 Feb 1880	26-Jul-62	03-Jun-07				Yes	1
George El Mozahem		969			Yes			1
Gerard Majella	6 Apr 1726	16 Oct 1755	11-Dec-04				Yes	1
Gerard of Lunel		1298					Yes	1
Gerasimus of Jordan		5th century				Yes	Yes	2
Gereon		304			Yes			1
Gerulfus	740	c. 740					Yes	1
Gianna Beretta Molla	04-Oct-22	28-Apr-62	16-May-04				Yes	1
Ghislain		680					Yes	1
Gilbert of Sempringham		1083					Yes	1
Gilbert de Moravia		1245					Yes	1
Gilbert of Meaux		1015					Yes	1
Giovanni da Capistrano		1456					Yes	1
Goar of Aquitaine		6 Jul 649					Yes	1
Godric of Finchale		1170					Yes	1
Godelieve of Gistel	c. 1049	6 Jul 1070	1084				Yes	1
Gonsalo Garcia		1597					Yes	1
Godehard (Gotthard) of Hildesheim		1038				Yes	Yes	2
Gratus of Aosta		c. 470					Yes	1
Gregorio Barbarigo		1697					Yes	1
Gregory Palamas		1359				Yes	Yes6	1.5
Gregory of Tours		594			Yes	Yes	Yes	3
Pope Gregory I		604		Yes		Yes	Yes	3
Pope Gregory II	669	11 Feb 731				Yes	Yes	2
Pope Gregory III		28 Nov 741				Yes	Yes	2
Pope Gregory VII	c. 1020	25 May 1085					Yes	1
Grellan		5th century					Yes	1
Gunther of Bohemia		1045					Yes	1
Hallvard Vebjørnsson		1043					Yes	1
Hazeka		1261					Yes	1
Heahmund		22 Mar 871				Yes	Yes	2
Hedwig of Andechs		1243					Yes	1
Helena of Constantinople	246	330		Yes	Yes	Yes	Yes	4
Helena of Skövde		1160(?)					Yes	1
Helier		555		Yes		Yes	Yes	3
"Henry II, Holy Roman Emperor"		1024					Yes	1
Herman of Valaam		10th-15th century				Yes		1
Herman of Alaska	1750s	15 Nov 1836	09-Aug-70			Yes		1
Hervé		556					Yes	1
"Hidulf (Hiduiphus, Hidulphus, Hydulphe)"		707				Yes	Yes	2
Pope Hilarius		468			Yes	Yes	Yes	3
Hilda of Whitby		680		Yes		Yes	Yes	3
Hildebrand		1085					Yes	1
Hildegard of Bingen		1179		Yes			Yes	2
Pope Hormisdas		523			Yes	Yes	Yes	3
Hubertus		727				Yes	Yes	2
Hugh of Lincoln		1200		Yes			Yes	2
Hyacinth		1257					Yes	1
Hyacintha Mariscotti		1640					Yes	1
Ioann of Russia	1886	1918				Yes		1
Illuminata[2]		320						0
Ignatius Loyola	23 Oct 1491	1 Jul 1556	12 Mar 1622	Yes4			Yes	2
Innocent of Alaska	6 Sep 1797	12 Apr 1879	06-Oct-77			Yes		1
Innocencio of Mary Immaculate	10 Mar 1887	09-Oct-34	21-Nov-99				Yes	1
Ignatius of Laconi		1781					Yes	1
Igor of Russia	1894	1918				Yes		1
Irene of Lesvos[citation needed]		1463				Yes		1
Isaac Jogues		1646			Yes	Yes	Yes	3
Isaac of Nineveh		700				Yes		1
Isabel of France		1270					Yes	1
Isfrid of Ratzeburg		1204					Yes	1
Isidore of Seville	c. 560	4 Apr 636	1598				Yes	1
Isidore the Laborer		1130					Yes	1
Íte of Killeedy		570				Yes	Yes	2
Ivo of Kermartin		1303					Yes	1
Jacinta de Jesus Marto	11-Mar-10	20-Feb-20	13-May-17				Yes	1
Jacobo Kyushei Tomonaga		1633					Yes	1
Jadwiga of Poland		1399					Yes	1
James of the Marches		1476					Yes	1
Jean de Brebeuf		1649					Yes	1
Joan of Arc	1412	1431	16-May-20				Yes	1
Joaquina Vedruna de Mas		1854					Yes	1
Job of Pochayiv		1651				Yes		1
John		1347				Yes	Yes	2
Pope John I		526				Yes	Yes	2
Pope John XXIII	25 Nov 1881	03-Jun-63	27-Apr-14				Yes	1
John Baptist de La Salle	30 Apr 1651	7 Apr 1719	24-May-00				Yes	1
John of Ávila	6 Jan 1499	10 May 1569	31-May-70				Yes	1
John Bosco	16 Aug 1815	31 Jan 1888	01-Apr-34				Yes	1
John Cantius		1473					Yes	1
John Climacus		606			Yes	Yes	Yes	3
John of the Cross		1591		Yes			Yes	2
John of Damascus	675	4 Dec 749		Yes4	Yes	Yes	Yes	4
John Fisher	19 Oct 1469	22 Jun 1535	19-May-35				Yes	1
John Macias		1645					Yes	1
John Maron		707					Yes	1
John of Matha		1213					Yes	1
John of Nepomuk		1393					Yes	1
John Henry Newman	21 Feb 1801	11 Aug 1890	13-Oct-19	Yes			Yes	2
John Nepomucene Neumann	28 Mar 1811	5 Jan 1860	19-Jun-77				Yes	1
John Ogilvie		1615					Yes	1
Pope John Paul II	18 May 1920	02-Apr-05	27-Apr-14				Yes	1
John Rigby		1600					Yes	1
John of Shanghai and San Francisco	4 Jun 1896	02-Jul-66	02-Jul-02			Yes		1
John of Tobolsk		1715				Yes		1
John Vianney	8 May 1786	4 Aug 1859	31-May-25				Yes	1
Johannes Karhapää	13 Jul 1884	7 or 8 Mar 1918	29-Nov-18			Yes		1
Josaphat Kuntsevych		1623					Yes	1
Josemaría Escrivá	09-Jan-02	26-Jun-75	06-Oct-02				Yes	1
Józef Bilczewski	1860	1923	23-Oct-05				Yes	1
Joseph Freinademetz	15 Apr 1852	28-Jan-08	05-Oct-03				Yes	1
Joseph of Anchieta	1534	1597	2014				Yes	1
Joseph of Cupertino		1663					Yes	1
Joseph Marchand		1835					Yes	1
Joseph Pignatelli		1811					Yes	1
Joseph Vaz	21 Apr 1651	16 Jan 1711	14-Jan-15				Yes	1
Josephine Bakhita	c. 1869	08-Feb-47	01-Oct-00				Yes	1
Josse (Judoc)		c. 668		Yes			Yes	2
Juan Diego		1548					Yes	1
Judoc (Josse)		c. 668		Yes			Yes	2
Juliana of Lazarevo		1604				Yes		1
Juliana of Nicomedia		304				Yes	Yes	2
Julian of Norwich		c. 1416		Yes			Yes	2
Juliana Falconieri		1270					Yes	1
Juliana of Cornillon		1193					Yes	1
Julie Billiart		1816					Yes	1
Justin de Jacobis		1800					Yes	1
Jutta of Kulmsee		1260					Yes	1
Kassia		867				Yes		1
Katharine Drexel	26 Nov 1858	03-Mar-55	01-Oct-00				Yes	1
Kea		early 6th century		Yes			Yes	2
Kessog		520		Yes			Yes	2
Kevin of Glendalough	c. 498	3 Jun 618	1903	Yes	Yes	Yes	Yes	4
Kinga of Poland		1292					Yes	1
Kirill of Beloozero		1427				Yes		1
Konstantin of Russia	1891	1918				Yes		1
Kuriakose Elias Chavara	10 Feb 1805	3 Jan 1871	23-Nov-14			Yes	Yes	2
Ladislaus of Hungary		1095					Yes	1
Lambert of Maastricht		700					Yes	1
Laura of Cordoba		864					Yes	1
Laura of Saint Catherine of Siena	26 May 1874	21-Oct-49	12-May-13				Yes	1
Laurent-Marie-Joseph Imbert		1818					Yes	1
Lawrence		258		Yes		Yes	Yes	3
Lazar of Serbia		1389				Yes		1
Leander of Seville		600 or 601					Yes	1
Leo the Great		461		Yes		Yes	Yes	3
Pope Leo II		28 Jun 683				Yes	Yes	2
Pope Leo III		12 Jun 816				Yes	Yes	2
Pope Leo IV		855				Yes	Yes	2
Pope Leo IX	21 Jun 1002	19 Apr 1054					Yes	1
Leodegar of Autun		679				Yes	Yes	2
Leopold Mandi?	12 May 1866	30-Jul-42	16-Oct-83				Yes	1
Lidwina of Schiedam	18 Mar 1380	14 Apr 1433	14 Mar 1890				Yes	1
Livinus of Ghent		657					Yes	1
Lorcán Ua Tuathail		1180					Yes	1
Lorenzo Ruiz	28 Nov 1594	29 Sep 1637	18-Oct-87	Yes			Yes	2
Lot of Egypt	c. 4th or 5th century	c. fifth century				Yes		1
Louis		1270					Yes	1
Louise de Marillac		1660					Yes	1
Lucy Filippini	13 Jan 1672	25 Mar 1732	22-Jun-30				Yes	1
Lucy Yi Zhenmei	9 Dec 1815	2 Feb 1862	01-Oct-00				Yes	1
Lucy of Syracuse		304		Yes		Yes	Yes	3
Ludmila of Bohemia	c. 860	18 Sep 921	18 Sep 921		Yes		Yes	2
Ludolph of Ratzeburg		1250					Yes	1
Luke the Evangelist		84		Yes	Yes	Yes	Yes	4
Lupus of Sens		623					Yes	1
Lutgardis		1246					Yes	1
Machar		6th century		Yes			Yes	2
Magdalen of Canossa		1835					Yes	1
Magdalene of Nagasaki	1611	15 Oct 1634	18-Oct-87	Yes			Yes	2
Malachy		1148					Yes	1
Malo		621					Yes	1
Marcellin Champagnat		1840					Yes	1
Marcouf		588					Yes	1
Margaret the Barefooted		1395					Yes	1
Margaret Clitherow		1586					Yes	1
Margaret of Cortona		1297					Yes	1
Margaret of Hungary	27 Jan 1242	18 Jan 1271	19-Nov-43				Yes	1
Margaret of Scotland (Queen)	1045	18 Nov 1093	1250	Yes			Yes	2
Margaret Ward		1588					Yes	1
Marguerite D'Youville		1771					Yes	1
Marguerite Marie Alacoque		1690					Yes	1
Maria Bernarda Bütler	28 May 1848	19-May-24	12-Oct-08				Yes	1
Maria Crocifissa di Rosa		1855					Yes	1
Maria Goretti		06-Jul-02	24-Jun-50				Yes	1
Maria Domenica Mazzarello		1881					Yes	1
Maria of Russia	1899	1918				Yes		1
Marianita de Jésus	31 Oct 1618	26 May 1645	09-Jul-50				Yes	1
Marie-Eugénie de Jésus	25 Aug 1817	10 Mar 1898	03-Jun-07				Yes	1
Mark of Ephesus		1444				Yes		1
Martin de Porres		1639					Yes	1
Pope Martin I		655			Yes	Yes	Yes	3
Martyr Saints of China		1648–1930					Yes	1
21 Coptic Martyrs of Libya		15-Feb-15	21-Feb-15			Yes	Yes	2
			11 May 2023[3]					
Martyrs of Thailand		16-26 Dec 1940	22-Oct-89				Yes	1
Mary of the Gael		525				Yes	Yes	2
Mary of the Cross	15 Jan 1842	08-Aug-09	17-Oct-10				Yes	1
Matthew I of Alexandria		1408			Yes			1
Maurontius of Douai		c. 700					Yes	1
Maximilian Kolbe	8 Jan 1894	14-Aug-41	10-Oct-82	Yes			Yes	2
Maximus of Turin		465				8	Yes	2
Matthias the Apostle		ca. 80 AD	11th century in calendar	Yes	Yes	Yes	Yes	4
Maximus the Confessor		662				Yes	Yes	2
Maximus the Greek		1556				Yes		1
Methodius of Thessaloniki		885		Yes		Yes	Yes	3
Melania the Younger	383 Rome	31 Dec 439 Jerusalem					Yes	1
Michael Dinh-Hy Ho		1857					Yes	1
Michael de Sanctis		1625					Yes	1
Miguel Febres Cordero		1910					Yes	1
Milburga of Wenlock		715		Yes		8	Yes	3
Modwen		7th century						0
Moninne		518				Yes9	Yes	2
Moses the Hungarian		26 Jul 1043				Yes		1
Mother Maria	20 Dec 1891	31-Mar-45	16-Jan-04		Yes	Yes		2
Narcisa de Jesus Martillo Moran		1869					Yes	1
Neagoe Basarab	1459	15 Sep 1521	08-Jul-08			Yes		1
Nectarios of Aegina	1 Oct 1846	08-Nov-20	20-Apr-61			Yes	Yes	2
Naum of Preslav		23 Dec 910				Yes		1
Nectan of Hartland		c. 510		Yes			Yes	2
Neot		c. 870				8	Yes	2
Nicephorus of Constantinople		828				Yes	Yes	2
Pope Nicholas I		867			Yes		Yes	2
Nicholas of Flüe		1487					Yes	1
Nicholas of Japan	13 Aug 1836	16-Feb-12	1970			Yes		1
Nicholas of Lesvos		1463				Yes		1
Nicholas Owen	c. 1562	1-2 Mar 1606	25-Oct-70				Yes	1
Nicholas Pieck	29 Aug 1534	9 Jul 1572	29 Jun 1867				Yes	1
Nicholas of Tolentino	c. 1246	10 Sep 1305	5 Jun 1446				Yes	1
Tsar Nicholas II	18 May 1868	17-Jul-18	14-Aug-00			Yes		1
Nikola Tavelic		1391					Yes	1
Nikolai of Žica	4 Jan 1881	18-Mar-56	24-May-03			Yes		1
Nil Sorsky		1508				Yes		1
Nilus the Younger		1005				Yes	Yes	2
Nimattullah Kassab Al-Hardini	1808	14 Dec 1858	16-May-04				Yes	1
Noël Chabanel		1649					Yes	1
Norbert of Xanten		1134					Yes	1
Nothelm of Canterbury		739		Yes		8	Yes	3
Nuno de Santa Maria Álvares Pereira		1431					Yes	1
Odile		720				8	Yes	2
Odo of Cluny		942				8	Yes	2
Olaf II of Norway		1030					Yes	1
Olga of Kiev		11 Jul 969				Yes	Yes	2
Olga of Russia	15 Nov 1895	17-Jul-18	14-Aug-00			Yes		1
Opportuna of Montreuil		770					Yes	1
Or of Nitria	c. 400	c. 490				Yes	Yes	2
Oswald of Northumbria		642		Yes		8	Yes	3
